ASVs	Clone_and_organism	identity	e_value
5bde20478a5eb866eff18dffb352e4b1	Unclassified	100.00	2e-131
e98f9ff3a695defac6b8cccb6e2d95cd	EF172993|Prymnesium_sp(SSRPD92)	99.60	7e-130
3051f76ff23a0eb73322c27c84cb2667	KC488450|Phaeocystis_sp(BBL6SF04_91)	97.60	2e-121
6b0db70f2f40cc6a178f8cbab8070270	KC488450|Phaeocystis_sp(BBL6SF04_91)	99.20	3e-128
3391c2df3c78353dcf6d52f08f217b03	AM490987|Syracosphaera_pulchra(ALGO_GK_17)	98.40	7e-125
4de3e7f44010bff09438bbf861081625	JX680437|Clade_E(Ma125_Pry1_C18)	99.20	3e-128
f746aa1ba50626113a9b0ed30213f19b	GU824821|Clade_HAP2(BCA5F15RM3F05)	99.60	7e-130
db49845d0883bb2b4733277aac8327f0	KJ763331|Chrysochromulina_sp(SGUH808)	97.20	7e-120
963d0ff7735dc1eadaecabe48ae837db	KF129994|Clade_HAP5(ST5900_037)	98.80	2e-126
326adba5c8aa57cc6aa7ec723baefff3	KF130550|Chrysochromulina_sp(ST8900_047)	98.80	2e-126
e34ab4a3a3230b40c4af7c2bb761e06d	JX680407|Chrysochromulina_sp(Ma135_Pry1_C34)	100.00	2e-131
397320d4189e90b940f97e9d3683ebc1	HM581562|Phaeocystis_sp(FS04GA51_01Aug05_5m)	100.00	3e-128
543d8e8af473566107307f1039fcd494	HM581532|Clade_HAP5(FS01AA17_01Aug05_5m)	92.40	3e-99
907bc3ead08d1872cc93c6466532445d	KF130288|Clade_HAP4(ST6060_063)	95.22	6e-111
8b8c996dcce198f0bec76820aa898004	GU824821|Clade_HAP2(BCA5F15RM3F05)	98.80	2e-126
ad60010b0c276fb0f738c34ca5016e0d	KF130564|Clade_B4(ST8900_063)	98.00	3e-123
079b1d25d939a789f5f09fe9ca1f231f	KF130564|Clade_B4(ST8900_063)	97.20	7e-120
3bf02e459ee6aaa89a4f1382aa15bdaf	FJ537311|Clade_E(Biosope_T33_008)	99.60	7e-130
27e1fa94d7213208bda8058f4f3d1dd6	KJ763084|Chrysochromulina_sp(SGUH406)	98.40	7e-125
13c45f342353fcb6f442a849694214c3	GU825177|Clade_HAP4(AA5F15RM1D01)	95.20	2e-111
1cdd7e0c1d74a72fcc0c7bd78e7b830c	HQ870396|Chrysochromulina_sp(SHZX449)	99.60	7e-130
8d3b8df892710569c245a275518ca737	Unclassified	94.82	7e-110
b4ac3fe3fa04cf91235e6b18928a0a0e	GU825177|Clade_HAP4(AA5F15RM1D01)	96.00	7e-115
ed8651005dd8529ef0bdb1c4d5072636	JX680404|Chrysochromulina_sp(Ma135_Pry1_C24)	100.00	2e-131
82f7f69c2b9f241847f3824e5d8f39dc	KF130396|Algirosphaera_sp(ST8300_084)	99.60	7e-130
480dd634edf0138ff3c7fc8b359f3707	EF172966|Chrysochromulina_sp(B04N10)	98.80	2e-126
4463645168bf213a2cf150b5a59ab123	KJ763084|Chrysochromulina_sp(SGUH406)	99.20	3e-128
9f4aafdcad0be8851ee8fb5836bd3800	DQ918951|Clade_HAP4(ENVP366_00164)	98.68	3e-113
de71679099d4759cbc011920dd6db5f4	KJ763188|Haptolina_sp(SGUH579)	99.20	3e-128
788a57cbdde2237b9412d2fb5d80d27a	HQ394067|Chrysochromulina_sp(T4A4_33)	98.80	2e-126
b231d94e09a7613788a431f5bc00bea2	EU500069|Braarudosphaera_bigelowii(hotxp1g2)	100.00	2e-131
906f80e57b88276971a36c2016d3ef15	KC488449|Chrysochromulina_sp(BBL1SF10_59)	96.40	2e-116
f8f1c3d64e063d9e392662dc4c3c5918	EF172993|Prymnesium_sp(SSRPD92)	99.20	3e-128
fec2508d11571bb1eb26bcb926a86d96	Unclassified	98.01	3e-123
f0cb0030f4b275bdbacc4fe96885aad3	KF130521|Chrysochromulina_sp(ST8900_013)	99.60	7e-130
862d4e318c57e75ff2d98f630124a2c5	JX680388|Clade_E(Ma130_Pry1_C9)	99.60	7e-130
4e8ebde90ae417bbfb9bab7af936a34a	KF130288|Clade_HAP4(ST6060_063)	96.02	3e-114
d543f1d3a57859f7633c9f693185a737	EU500064|Clade_HAP4(hotxp1f3)	97.20	7e-120
85ff06c4bf4954b5340bdc9cfeca22df	KF129994|Clade_HAP5(ST5900_037)	98.00	3e-123
e1231fe0d2b8b78f47d1bd4373b04dd5	AJ246279|Chrysochromulina_throndsenii(UIO049_(K11))	100.00	2e-131
e181025d20202dd45167a0c15ac5918f	KJ762999|Chrysochromulina_sp(SGUH1383)	99.60	7e-130
19d56545609f238377b68f603f6e8e98	EF695195|Chrysochromulina_sp(hotp1e8)	100.00	2e-131
eb62e21c7df0dbb37b414fafe4df5816	KF130550|Chrysochromulina_sp(ST8900_047)	97.20	7e-120
c2f2e81ac4eb0e9b95d11959da5cfa48	JX680362|Clade_E(DH122_Pry1_C23)	99.20	3e-128
ed3d00b97777a445cb4796a092c04229	FJ431454|Chrysochromulina_sp(RA071004N_002)	100.00	2e-131
ed30c514be49e493ad32a091c984f001	KF130288|Clade_HAP4(ST6060_063)	96.40	2e-116
42e73dbfe4975a8473c2bc29f2e1286d	FJ537637|Chrysochromulina_sp(Biosope_T65_040)	98.00	3e-123
c91e26dc625cd11e490379532972d8b2	JX680342|Clade_HAP3(Ma135_Pav3_C1)	98.80	2e-126
bc5721bfee251055d7e4b2c5a1c6cd01	KC582958|Chrysochromulina_sp(RS_12f_10m_00108)	100.00	2e-131
1efd454f86ecebf8418b0b3a81dd195b	KJ763331|Chrysochromulina_sp(SGUH808)	99.60	7e-130
120253b2761f95665fb65a6532c899f5	Unclassified	100.00	2e-131
fbc3bf5512530890f8e546eef674ed45	Unclassified	99.60	7e-130
107999a3cb27e023742e90e83a2f3cd8	HM581603|Chrysochromulina_sp(FS04R13_10_27Feb07_75m_sort)	99.60	7e-130
d738c9e0eca2ad9313cbfb9c29f58217	FN263276|Chrysochromulina_sp(B5)	98.80	2e-126
8e0c4fe33f905cb2a7d9d58a823596e4	KF422607|Phaeocystis_rex(CCMP2000)	97.20	7e-120
6e9efa1ef81b95d6b6853aa0af45eac2	AJ246279|Chrysochromulina_throndsenii(UIO049_(K11))	99.60	7e-130
e2c4110762de9457e1dbcad9abdc16b8	HQ869389|Chrysochromulina_sp(SHBA737)	99.60	7e-130
f08ed60b7089c4d7a37a3fbfe9e9701e	GU825073|Phaeocystis_globosa(AI5F15RJ3B03)	99.60	7e-130
2289c33a129fda4853da70065bce8543	FJ537637|Chrysochromulina_sp(Biosope_T65_040)	98.80	2e-126
a0ea80f68067ff3513d51b75cf769779	GU824470|Clade_F(AI5F13RM1H01)	99.20	3e-128
c960420bbed203ca81946253f242b6d1	HQ869389|Chrysochromulina_sp(SHBA737)	96.80	3e-118
1641f3dc0a0b8b88618d6ae3f801fef9	HQ394067|Chrysochromulina_sp(T4A4_33)	99.20	3e-128
b318f00957711bc95ebf81f4ab427f1f	KF130288|Clade_HAP4(ST6060_063)	96.81	3e-118
c93968e43143aa03cd871d37c200053c	KJ763331|Chrysochromulina_sp(SGUH808)	98.80	2e-126
c6a8bb7f56b42ade3d7b17821aa4fc87	KF422607|Phaeocystis_rex(CCMP2000)	100.00	2e-131
faf49c8f0f1c6bc11e52555dd1676029	JX660995|Phaeocystis_sp(RCC:PCC559)	98.40	7e-125
c094306949b08ab49b10f920bb99769a	FJ431454|Chrysochromulina_sp(RA071004N_002)	97.60	2e-121
ccff75926f9c2c07c469c8523fe96191	KF129692|Chrysochromulina_sp(ST3500_114)	97.20	7e-120
03633f230269975029ff35bbfdb50e3c	JF308273|Chrysoculter_sp(TB1H05)	99.60	7e-130
c37b8c53f72e8efa394edba537f256cc	KJ763084|Chrysochromulina_sp(SGUH406)	98.40	7e-125
80f68c5e541a5bfd0875909f977c4258	AJ246279|Chrysochromulina_throndsenii(UIO049_(K11))	99.20	3e-128
108cb88bc9d6ec7aa025c826ced6af58	KF129692|Chrysochromulina_sp(ST3500_114)	99.20	3e-128
c28d60b33ab9d06f7814924c18b15313	AJ544118|Umbilicosphaera_sibogae(ETH4728)	100.00	2e-131
bbf84fe0e9e03fb40ac5d56c5ac746ef	GQ863817|Phaeocystis_sp(AMT15_15_10m_412)	96.02	3e-114
50e3a4b9225a8d51df4e6459d68e32e9	Unclassified	98.80	2e-126
902b0b8d35644622045788c8eb1835d3	JX680421|Prymnesium_polylepis(Ma135_Pry1_C41)	99.60	7e-130
2906f25548fe90facea166d81581aeaf	KF129994|Clade_HAP5(ST5900_037)	97.20	7e-120
28c646af8e34e23f6eb951edfdb31801	EF172993|Prymnesium_sp(SSRPD92)	99.20	3e-128
24e3a3e1bf5a2b0e0fef69c645fd27ac	KF130550|Chrysochromulina_sp(ST8900_047)	98.00	3e-123
33f94b012f71b1d0128a4c0b8a6e1ddb	JX680373|Prymnesium_sp(Ma101_Pry1_C24)	100.00	2e-131
37e098c2516acabd88c47bc7e523b406	FN263276|Chrysochromulina_sp(B5)	98.00	3e-123
9edd7b35368b262dec3f35fc5bf256ee	EF695123|Phaeocystis_sp(hotp2a4)	99.60	7e-130
1a84bd1efb8ddd2416f94341d73c1835	AM490987|Syracosphaera_pulchra(ALGO_GK_17)	98.80	2e-126
79e4097bde1158be74c4755c0c01cdc6	DQ918951|Clade_HAP4(ENVP366_00164)	99.12	7e-115
2ca7c96691bf69b7aa7ee41d1971f375	JX661041|Chrysochromulina_sp(Vil64)	99.60	7e-130
88702f7a4b73a4e3d955e18622dd38d1	GU825016|Chrysochromulina_sp(AA5F15RM4B01)	99.60	7e-130
0f01b0258e34c0416fe30e9cd8ce4475	KJ763084|Chrysochromulina_sp(SGUH406)	97.60	2e-121
bb0e5ebec5779303e169e682b87d12b4	KF130288|Clade_HAP4(ST6060_063)	95.63	3e-113
86cde1d7dbcaa40e728650030a2c33e7	JX291802|Prymnesium_sp(7656BH994_SP6)	98.00	3e-123
a1a854c9dd083fdb9297a31adaad86a2	KF129692|Chrysochromulina_sp(ST3500_114)	99.60	7e-130
843dfbb671db5ac44203646aa4c4c013	HQ869452|Phaeocystis_sp(SHBA419)	100.00	2e-131
dd0c18f6922cff3aacf93c65effa0928	KJ763084|Chrysochromulina_sp(SGUH406)	99.20	3e-128
0c619d0c47b424c542a5076141771d2d	KF130288|Clade_HAP4(ST6060_063)	99.60	7e-130
1e80f904d8be4f876bf9299df2487d92	AM490984|Scyphosphaera_apsteinii(ALGO_TW16)	98.80	2e-126
ab687a1b6fb90dd7455f869316648be5	HM581603|Chrysochromulina_sp(FS04R13_10_27Feb07_75m_sort)	98.41	7e-125
9cfbb1438cea7c038e0ea19412cc8a06	JX680373|Prymnesium_sp(Ma101_Pry1_C24)	93.60	7e-105
1d6b409a61c76ecda78b5eed0a2ff5c5	EU500064|Clade_HAP4(hotxp1f3)	99.60	7e-130
5cb33bf984f5ed3ab1bcdf0e3dface82	JX680407|Chrysochromulina_sp(Ma135_Pry1_C34)	97.60	2e-121
ecc5d926d6d249305c0110b487c15fdc	HQ868546|Chrysochromulina_sp(SHAX774)	100.00	2e-131
50e00504d06c579a2e8c72b26d5287df	HM858457|Clade_B4(MO_011_5m_00022)	100.00	7e-115
dcc273ef63c31bbcb4692e641af15724	KF129796|Chrysochromulina_sp(ST3900_006)	100.00	2e-131
c04b88019bedb2f9160a7b9c86c69c8b	JX680364|Chrysochromulina_sp(DH122_Pry1_C28)	98.00	3e-123
a9d16c474e895478ac2783b57f53674f	HM581600|Clade_B3(FS04R14_1_27Feb07_75m_sort)	100.00	2e-131
90d44765439939242c60274898b62a82	FN263276|Chrysochromulina_sp(B5)	99.60	7e-130
303ac12edcf45a84cc8f173c410c5886	AB199882|Chrysochromulina_sp(MBIC10513)	98.00	3e-123
0c9abeb1e97bb28f4bfecf468be1d7cf	KJ762999|Chrysochromulina_sp(SGUH1383)	99.20	3e-128
938768f5672f24c8f33d8fb83248c891	Unclassified	99.60	7e-130
982636ece87c3e70a065b872d0c4d550	AM490987|Syracosphaera_pulchra(ALGO_GK_17)	99.60	7e-130
90d4064c2821ed41632dae8193cdf1a0	AB478413|Braarudosphaera_bigelowii(Furue15)	99.60	7e-130
2291a10e6d5d7526d113be2e8609da7c	DQ918951|Clade_HAP4(ENVP366_00164)	99.12	2e-115
9470e8faabfa67c25b804851ad99c942	JX680364|Chrysochromulina_sp(DH122_Pry1_C28)	99.20	3e-128
976b2e16b8d3011bd8c96cd82d43edd4	Unclassified	98.40	7e-125
b2895859d6557fd9e071326a63daa321	JX680402|Prymnesium_sp(Ma135_Pry1_C21)	100.00	2e-131
cfff8a43bf08752175a75c6234d8de5a	KC582958|Chrysochromulina_sp(RS_12f_10m_00108)	99.20	3e-128
b11df2a1403844cfc847d534d0bfaeed	HM581603|Chrysochromulina_sp(FS04R13_10_27Feb07_75m_sort)	99.20	3e-128
1e3f5e61c6f0acc40041a2b063c9f02c	HM581603|Chrysochromulina_sp(FS04R13_10_27Feb07_75m_sort)	99.20	3e-128
02c4df46f7ecb7d11845240473874e8f	JX680364|Chrysochromulina_sp(DH122_Pry1_C28)	98.80	2e-126
49b572b7fd6684a4de3c7937627e87bd	AM490987|Syracosphaera_pulchra(ALGO_GK_17)	100.00	2e-131
3c866e78fa928b605cd7a81e12e84857	AB478413|Braarudosphaera_bigelowii(Furue15)	99.60	7e-130
3e93802a80406cf9248bc1a7bd91510b	GU825016|Chrysochromulina_sp(AA5F15RM4B01)	99.20	3e-128
ec3bb382705ba04c0ecdacf9c66ddaac	JX680407|Chrysochromulina_sp(Ma135_Pry1_C34)	98.80	2e-126
ded64dd844bd984a5872972a1703b9dd	HQ870464|Chrysochromulina_sp(SIAA409)	99.20	3e-128
5bb13de9d4dd579d9695535bbd439bab	AM490978|Chrysotila_scherffelii(ALGO_HAP11)	95.22	2e-111
a8cf63a49986812565fa5e2adbff43f5	KJ763188|Haptolina_sp(SGUH579)	99.60	7e-130
262d46175284bd96236eca37dd9283e9	KJ763188|Haptolina_sp(SGUH579)	99.60	7e-130
6f53f4da2ddab019ba132fa7f5eb33b0	JX291802|Prymnesium_sp(7656BH994_SP6)	99.20	3e-128
bc8cbb98426ecca2be7358f284a69557	HQ868922|Chrysochromulina_sp(SHAX408)	100.00	2e-131
9efdf816a6cb77fd14ecf5075ab2c548	KF130564|Clade_B4(ST8900_063)	98.00	3e-123
e970423c2d27418a5c8b97f65bf6c188	JX680386|Prymnesium_sp(Ma130_Pry1_C4)	98.41	7e-125
51ed1509eb32d8f2752f1e4cc5f084ab	Unclassified	97.60	2e-121
dd70a2311a3e4aff1ad1af57b073ff75	KJ758537|Clade_HAP4(SGYU1187)	95.20	2e-111
e0286930ac2b7d604209061bbdf10663	EF172993|Prymnesium_sp(SSRPD92)	99.20	3e-128
13b72f7911f201fd26462c45dedfd954	JX680440|Clade_B3(Ma135_Pry1_C49)	96.80	3e-118
85bde626f59ce8d97eaab1d953ef0121	AM490985|Algirosphaera_robusta(ALGO_Am_24)	100.00	2e-131
5d79dcb2153d5fbe4005658d32c46d5e	JX680407|Chrysochromulina_sp(Ma135_Pry1_C34)	96.80	3e-118
a62ebbd867607a0cde6673eb2c808116	EU500064|Clade_HAP4(hotxp1f3)	97.20	7e-120
64f10135ca1a6ddc5ad0ebd7b4a89d27	EF695123|Phaeocystis_sp(hotp2a4)	97.60	2e-121
3585f30b0ec10cd7e4817bae19960286	KF129994|Clade_HAP5(ST5900_037)	99.20	3e-128
d1dc21e382b9b542aa36d87a28d814db	EU500064|Clade_HAP4(hotxp1f3)	98.80	2e-126
d7f2183a2312bb0dc9cd92a92a344e06	KJ763084|Chrysochromulina_sp(SGUH406)	99.20	3e-128
34b6042e4b5be58cf6ef68c9609bfddb	GU825177|Clade_HAP4(AA5F15RM1D01)	92.83	2e-101
26ebdde62db152054e2a8f6315811f67	KJ763331|Chrysochromulina_sp(SGUH808)	98.80	2e-126
a99ecce9bb4cc34cc4d62b218005a2bd	HM581532|Clade_HAP5(FS01AA17_01Aug05_5m)	94.42	1e-107
8c8c9764e8ce6bf690d06fbe54c87a14	KJ763084|Chrysochromulina_sp(SGUH406)	98.40	7e-125
2cfd5dc8bbdda6d3c87e44f9dc6b2d09	FJ431406|Chrysochromulina_sp(RA071004N_038)	99.60	7e-130
895a6891012e048d63c520e8df2bd1ce	AM491026|Oolithotus_fragilis(ALGO_AS641)	99.60	7e-130
4b5788d0b5b7aa440eda5cb129919457	AJ544116|Calcidiscus_leptoporus(AS31)	96.02	3e-114
28438b71b4b3a94398a1ba66a97fe712	Unclassified	96.40	2e-116
58b33a22e62d363ec199bf19e8ad2c91	EU500064|Clade_HAP4(hotxp1f3)	96.00	3e-114
401b430ea9f72a46b16d13f2c0b88d2d	FJ537342|Clade_HAP2(Biosope_T65_100)	100.00	2e-131
36b465083256cbfefdb44506b7d94107	Unclassified	99.20	3e-128
5fffe26d5369f0ab4705bc636aac5e3b	FN263276|Chrysochromulina_sp(B5)	99.60	7e-130
8f0d396ade0bea85d67a897fd7d9e77e	JX680370|Phaeocystis_antarctica(DH129_Pry1_C20)	100.00	2e-131
d0ba2a785ccc17c0032422fa1afb4654	KF129994|Clade_HAP5(ST5900_037)	97.60	2e-121
075098894031ff0b9db781103fe07a07	KF130396|Algirosphaera_sp(ST8300_084)	100.00	2e-131
1ac5e017c98eb240e8d1bd91a93996c5	EF172993|Prymnesium_sp(SSRPD92)	99.20	3e-128
fbbc40023adabc1185c8c2a15c42faaf	KJ763331|Chrysochromulina_sp(SGUH808)	98.40	3e-124
fc3598234c6af2f2f40d08d2138d114a	Unclassified	96.00	7e-115
a013651bbe8ca9a919d701e088a5760a	JX680373|Prymnesium_sp(Ma101_Pry1_C24)	95.20	2e-111
e6ec2c23975f427b480560740075610c	KF130564|Clade_B4(ST8900_063)	96.80	3e-118
f751227cbdff138bc745b5e64a467701	DQ918951|Clade_HAP4(ENVP366_00164)	97.80	2e-110
4882b64dff8de22b097724a2f65fecb2	AM490984|Scyphosphaera_apsteinii(ALGO_TW16)	99.20	3e-128
2eab4665dadb8968dfc2e0a550aeb999	HQ868699|Clade_HAP3(SHAX937)	98.00	3e-123
1d58135c6b4419406877690e054cade5	AB183611|Prymnesium_sp(MBIC10528)	98.80	2e-126
595a4f355e09200941617909ade1bc00	KF130288|Clade_HAP4(ST6060_063)	96.40	2e-116
babe660d966b390ff34a55a55526319f	GU824821|Clade_HAP2(BCA5F15RM3F05)	97.60	2e-121
d3ec4c4042db6abd615b18c6e69b8e1e	KF130175|Clade_HAP3(ST6000_025)	98.80	2e-126
6e25486349670a60b571157e70ac6f08	Unclassified	97.60	2e-121
8aa84218b5f4d25e86757c9f1e156258	JX291802|Prymnesium_sp(7656BH994_SP6)	97.60	2e-121
7e7cd5e4836909d0778eda6725be3090	JX291802|Prymnesium_sp(7656BH994_SP6)	98.00	3e-123
7b29d85e499d5cf76e01d7de9b18ecf6	AB478413|Braarudosphaera_bigelowii(Furue15)	99.60	7e-130
ab25f248132c06e9a17082e9c766e3fa	AB983345|Gladiolithus_sp(isolate_VFsc26)	98.40	7e-125
7c7161700cd1288c4ec58b91ed649e44	Unclassified	98.00	3e-123
3a88171d2c8e87846aa374f407b37d1a	KF129994|Clade_HAP5(ST5900_037)	95.20	2e-111
6e3f5cf3862ae450e97b134053391280	KF130396|Algirosphaera_sp(ST8300_084)	99.20	3e-128
9713ddc16514f24b7e0483a5af488f52	KJ763084|Chrysochromulina_sp(SGUH406)	98.00	3e-123
34f429846fa8c7dabbffb1c6a3c34cf4	HQ864929|Clade_B3(SGPX503)	98.80	2e-126
54f03387ec7037c5fce2468ba9d03bd1	JN090869|Prymnesium_sp(KRL01E9)	98.40	7e-125
6f6bd41feacbe7c8cb86bd6f107e75ad	KJ763188|Haptolina_sp(SGUH579)	99.20	3e-128
b3d5e2c7cc19e58d286d7838f4b6e21c	AB183611|Prymnesium_sp(MBIC10528)	97.60	2e-121
eb04790ed702b7fd23bb0d4096dcfe47	KJ763084|Chrysochromulina_sp(SGUH406)	97.60	2e-121
d64d5f480f7848e534e0f29c06f9067a	Unclassified	98.40	7e-125
